77,73,43,36,39,19,35,28,16,6,5,4,2,6,3,1,1,0
44,44,26,20,24,5,16,16,11,0,5,4,0,5,2,0,0,0
29,25,29,26,20,12,13,4,7,9,6,7,3,1,1,0,0,0
35,32,20,17,19,9,15,14,6,0,4,1,4,1,1,0,0,0
24,17,15,13,16,8,11,8,4,3,2,4,2,2,2,1,0,0
29,26,14,14,17,5,14,13,7,4,1,1,1,2,1,0,0,0
27,24,10,10,15,13,7,13,7,3,3,3,0,2,2,0,0,0
23,24,17,14,15,5,14,13,6,3,1,3,2,1,2,0,0,0
22,21,14,8,12,7,14,10,5,2,1,1,0,1,0,0,1,0
23,20,15,13,14,6,12,7,4,1,2,2,0,0,1,0,0,0
16,17,17,12,12,4,8,3,2,6,2,3,1,0,1,0,0,0
16,16,9,5,9,2,8,7,1,0,1,1,2,0,1,0,1,0
18,17,6,5,7,3,6,3,2,0,4,0,1,1,1,0,0,0
14,15,6,5,7,3,5,9,2,1,1,0,0,0,0,0,0,0
14,13,9,9,10,3,8,10,4,1,1,0,0,1,0,0,0,0
16,17,10,6,11,0,11,4,3,2,0,0,1,0,0,0,1,0
13,13,3,3,6,1,4,10,2,1,0,0,0,1,1,0,0,0
15,15,8,4,8,0,9,5,4,1,1,0,1,1,0,0,0,0
14,12,7,6,9,2,7,7,3,0,0,0,1,0,0,1,0,0
7,4,4,2,3,0,2,2,1,0,0,1,1,0,0,0,1,0
11,10,7,5,3,5,4,4,2,2,0,2,0,0,0,0,0,0
8,9,6,3,5,0,4,5,2,0,1,2,0,0,0,0,0,0
7,7,4,2,6,3,5,4,4,1,2,1,0,0,0,0,0,0
5,6,2,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0
4,4,1,2,2,3,2,3,1,0,0,0,0,1,0,0,0,0
