53,48,50,31,40,32,5,21,11,14,9,14,5,2,3,1,0,0,0
49,41,40,35,45,21,18,11,12,6,1,1,2,1,0,1,1,0,0
47,46,45,32,34,29,7,14,8,8,7,12,7,4,2,3,0,0,1
59,50,48,46,50,30,23,8,12,14,8,6,2,1,0,2,0,0,1
37,25,26,24,30,20,11,6,10,12,1,3,5,1,2,0,1,0,0
28,25,23,25,27,14,15,7,7,2,4,4,2,1,1,0,0,0,0
29,28,25,25,28,20,12,4,11,5,3,6,5,3,2,2,0,0,0
24,23,21,16,21,17,8,5,5,3,4,2,2,0,0,0,0,0,0
21,17,16,15,21,11,7,6,5,4,2,1,2,1,0,1,0,0,0
22,20,20,19,21,12,9,5,7,2,2,3,1,0,1,0,0,0,0
14,13,13,13,13,8,7,1,6,3,1,1,2,0,0,0,1,0,0
20,18,18,16,16,14,7,7,4,3,7,6,1,2,0,1,0,0,0
17,11,11,12,17,7,5,1,6,3,1,0,2,2,0,0,1,0,0
13,13,13,14,15,9,9,2,4,3,1,0,1,0,0,0,0,0,1
14,10,11,10,11,9,2,1,4,5,0,1,2,1,0,0,0,0,0
15,12,11,11,13,9,4,1,4,1,2,0,2,1,0,0,1,0,0
9,8,9,8,8,4,6,3,6,0,0,0,1,0,0,0,0,0,0
5,3,6,3,5,4,0,1,1,3,1,1,0,0,1,0,0,0,0
10,9,9,10,9,5,5,2,1,2,0,0,1,0,0,0,0,0,0
7,5,4,3,6,4,1,2,1,2,0,0,1,0,0,0,0,0,0
7,4,6,5,8,4,2,3,3,2,1,1,0,0,0,0,0,0,0
10,9,9,9,9,6,5,2,4,1,1,0,2,0,0,0,0,0,1
9,9,9,7,8,3,2,3,1,0,0,0,0,0,0,0,0,0,0
7,8,8,8,8,5,4,0,3,1,0,1,1,0,0,1,0,0,0
6,2,1,4,5,0,2,1,0,2,0,0,0,0,0,0,0,0,0
