178,147,151,124,141,90,36,37,35,35,19,23,11,7,7,4,1,1,1
147,150,136,108,116,82,32,37,33,22,16,23,12,7,6,4,1,1,1
151,136,158,109,125,85,35,36,36,29,17,19,11,7,7,3,1,1,1
124,108,109,129,108,65,36,20,29,19,14,15,9,6,4,2,0,1,1
141,116,125,108,150,77,40,28,35,30,18,17,9,7,6,2,1,1,1
90,82,85,65,77,95,18,20,29,19,14,16,10,4,7,4,0,0,1
36,32,35,36,40,18,41,4,14,2,6,1,3,2,0,0,0,0,1
37,37,36,20,28,20,4,38,7,4,4,5,5,2,2,1,0,0,0
35,33,36,29,35,29,14,7,39,7,7,6,7,7,4,2,1,0,0
35,22,29,19,30,19,2,4,7,37,3,4,3,1,1,0,0,0,1
19,16,17,14,18,14,6,4,7,3,20,8,1,0,1,1,0,0,0
23,23,19,15,17,16,1,5,6,4,8,24,1,0,2,2,0,0,0
11,12,11,9,9,10,3,5,7,3,1,1,12,4,0,0,0,0,0
7,7,7,6,7,4,2,2,7,1,0,0,4,8,0,1,0,0,0
7,6,7,4,6,7,0,2,4,1,1,2,0,0,7,0,0,0,0
4,4,3,2,2,4,0,1,2,0,1,2,0,1,0,4,0,0,0
1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
